,Country_Region,Confirmed,Deaths,Recovered,Active,Date,days_since_100,Confirmed_change,Confirmed_change_pct
0,Georgia,1.0,0.0,0.0,1.0,2020-02-26,-33,,
1,Georgia,1.0,0.0,0.0,1.0,2020-02-27,-32,0.0,0.0
2,Georgia,1.0,0.0,0.0,1.0,2020-02-28,-31,0.0,0.0
3,Georgia,1.0,0.0,0.0,1.0,2020-02-29,-30,0.0,0.0
4,Azerbaijan,3.0,0.0,0.0,3.0,2020-03-01,-25,,
5,Georgia,3.0,0.0,0.0,3.0,2020-03-01,-29,2.0,2.0
6,Armenia,1.0,0.0,0.0,1.0,2020-03-01,-18,,
7,Azerbaijan,3.0,0.0,0.0,3.0,2020-03-02,-24,0.0,0.0
8,Georgia,3.0,0.0,0.0,3.0,2020-03-02,-28,0.0,0.0
9,Armenia,1.0,0.0,0.0,1.0,2020-03-02,-17,0.0,0.0
10,Azerbaijan,3.0,0.0,0.0,3.0,2020-03-03,-23,0.0,0.0
11,Georgia,3.0,0.0,0.0,3.0,2020-03-03,-27,0.0,0.0
12,Armenia,1.0,0.0,0.0,1.0,2020-03-03,-16,0.0,0.0
13,Azerbaijan,3.0,0.0,0.0,3.0,2020-03-04,-22,0.0,0.0
14,Georgia,3.0,0.0,0.0,3.0,2020-03-04,-26,0.0,0.0
15,Armenia,1.0,0.0,0.0,1.0,2020-03-04,-15,0.0,0.0
16,Azerbaijan,6.0,0.0,0.0,6.0,2020-03-05,-21,3.0,1.0
17,Georgia,4.0,0.0,0.0,4.0,2020-03-05,-25,1.0,0.33333333333333326
18,Armenia,1.0,0.0,0.0,1.0,2020-03-05,-14,0.0,0.0
19,Azerbaijan,6.0,0.0,0.0,6.0,2020-03-06,-20,0.0,0.0
20,Georgia,4.0,0.0,0.0,4.0,2020-03-06,-24,0.0,0.0
21,Armenia,1.0,0.0,0.0,1.0,2020-03-06,-13,0.0,0.0
22,Azerbaijan,9.0,0.0,0.0,9.0,2020-03-07,-19,3.0,0.5
23,Georgia,4.0,0.0,0.0,4.0,2020-03-07,-23,0.0,0.0
24,Armenia,1.0,0.0,0.0,1.0,2020-03-07,-12,0.0,0.0
25,Georgia,13.0,0.0,0.0,13.0,2020-03-08,-22,9.0,2.25
26,Azerbaijan,9.0,0.0,0.0,9.0,2020-03-08,-18,0.0,0.0
27,Armenia,1.0,0.0,0.0,1.0,2020-03-08,-11,0.0,0.0
28,Georgia,15.0,0.0,0.0,15.0,2020-03-09,-21,2.0,0.15384615384615374
29,Azerbaijan,9.0,0.0,0.0,9.0,2020-03-09,-17,0.0,0.0
30,Armenia,1.0,0.0,0.0,1.0,2020-03-09,-10,0.0,0.0
31,Georgia,15.0,0.0,0.0,15.0,2020-03-10,-20,0.0,0.0
32,Azerbaijan,11.0,0.0,0.0,11.0,2020-03-10,-16,2.0,0.22222222222222232
33,Armenia,1.0,0.0,0.0,1.0,2020-03-10,-9,0.0,0.0
34,Georgia,24.0,0.0,0.0,24.0,2020-03-11,-19,9.0,0.6000000000000001
35,Azerbaijan,11.0,0.0,3.0,8.0,2020-03-11,-15,0.0,0.0
36,Armenia,1.0,0.0,0.0,1.0,2020-03-11,-8,0.0,0.0
37,Georgia,24.0,0.0,0.0,24.0,2020-03-12,-18,0.0,0.0
38,Azerbaijan,11.0,0.0,3.0,8.0,2020-03-12,-14,0.0,0.0
39,Armenia,4.0,0.0,0.0,4.0,2020-03-12,-7,3.0,3.0
40,Georgia,25.0,0.0,0.0,25.0,2020-03-13,-17,1.0,0.04166666666666674
41,Azerbaijan,15.0,1.0,3.0,11.0,2020-03-13,-13,4.0,0.36363636363636354
42,Armenia,8.0,0.0,0.0,8.0,2020-03-13,-6,4.0,1.0
43,Kazakhstan,4.0,0.0,0.0,4.0,2020-03-13,-13,,
44,Georgia,30.0,0.0,0.0,30.0,2020-03-14,-16,5.0,0.19999999999999996
45,Armenia,18.0,0.0,0.0,18.0,2020-03-14,-5,10.0,1.25
46,Azerbaijan,15.0,1.0,3.0,11.0,2020-03-14,-12,0.0,0.0
47,Kazakhstan,6.0,0.0,0.0,6.0,2020-03-14,-12,2.0,0.5
48,Georgia,33.0,0.0,0.0,33.0,2020-03-15,-15,3.0,0.10000000000000009
49,Armenia,26.0,0.0,0.0,26.0,2020-03-15,-4,8.0,0.4444444444444444
50,Azerbaijan,23.0,1.0,6.0,16.0,2020-03-15,-11,8.0,0.5333333333333334
51,Kazakhstan,9.0,0.0,0.0,9.0,2020-03-15,-11,3.0,0.5
52,Uzbekistan,1.0,0.0,0.0,1.0,2020-03-15,-13,,
53,Armenia,52.0,0.0,0.0,52.0,2020-03-16,-3,26.0,1.0
54,Georgia,33.0,0.0,1.0,32.0,2020-03-16,-14,0.0,0.0
55,Azerbaijan,15.0,1.0,6.0,8.0,2020-03-16,-10,-8.0,-0.34782608695652173
56,Kazakhstan,10.0,0.0,0.0,10.0,2020-03-16,-10,1.0,0.11111111111111116
57,Uzbekistan,6.0,0.0,0.0,6.0,2020-03-16,-12,5.0,5.0
58,Armenia,78.0,0.0,1.0,77.0,2020-03-17,-2,26.0,0.5
59,Georgia,34.0,0.0,1.0,33.0,2020-03-17,-13,1.0,0.030303030303030276
60,Kazakhstan,33.0,0.0,0.0,33.0,2020-03-17,-9,23.0,2.3
61,Azerbaijan,28.0,1.0,6.0,21.0,2020-03-17,-9,13.0,0.8666666666666667
62,Uzbekistan,10.0,0.0,0.0,10.0,2020-03-17,-11,4.0,0.6666666666666667
63,Armenia,84.0,0.0,1.0,83.0,2020-03-18,-1,6.0,0.07692307692307687
64,Georgia,38.0,0.0,1.0,37.0,2020-03-18,-12,4.0,0.11764705882352944
65,Kazakhstan,35.0,0.0,0.0,35.0,2020-03-18,-8,2.0,0.06060606060606055
66,Azerbaijan,28.0,1.0,6.0,21.0,2020-03-18,-8,0.0,0.0
67,Uzbekistan,15.0,0.0,0.0,15.0,2020-03-18,-10,5.0,0.5
68,Kyrgyzstan,3.0,0.0,0.0,3.0,2020-03-18,-13,,
69,Armenia,115.0,0.0,1.0,114.0,2020-03-19,0,31.0,0.36904761904761907
70,Azerbaijan,44.0,1.0,6.0,37.0,2020-03-19,-7,16.0,0.5714285714285714
71,Kazakhstan,44.0,0.0,0.0,44.0,2020-03-19,-7,9.0,0.2571428571428571
72,Georgia,40.0,0.0,1.0,39.0,2020-03-19,-11,2.0,0.05263157894736836
73,Uzbekistan,23.0,0.0,0.0,23.0,2020-03-19,-9,8.0,0.5333333333333334
74,Kyrgyzstan,3.0,0.0,0.0,3.0,2020-03-19,-12,0.0,0.0
75,Armenia,136.0,0.0,1.0,135.0,2020-03-20,1,21.0,0.18260869565217397
76,Kazakhstan,49.0,3.0,0.0,46.0,2020-03-20,-6,5.0,0.11363636363636354
77,Azerbaijan,44.0,1.0,6.0,37.0,2020-03-20,-6,0.0,0.0
78,Georgia,43.0,0.0,1.0,42.0,2020-03-20,-10,3.0,0.07499999999999996
79,Uzbekistan,33.0,0.0,0.0,33.0,2020-03-20,-8,10.0,0.4347826086956521
80,Kyrgyzstan,6.0,0.0,0.0,6.0,2020-03-20,-11,3.0,1.0
81,Armenia,160.0,0.0,1.0,159.0,2020-03-21,2,24.0,0.17647058823529416
82,Azerbaijan,53.0,1.0,11.0,41.0,2020-03-21,-5,9.0,0.20454545454545459
83,Kazakhstan,53.0,0.0,0.0,53.0,2020-03-21,-5,4.0,0.08163265306122458
84,Georgia,49.0,0.0,1.0,48.0,2020-03-21,-9,6.0,0.13953488372093026
85,Uzbekistan,43.0,0.0,0.0,43.0,2020-03-21,-7,10.0,0.303030303030303
86,Kyrgyzstan,14.0,0.0,0.0,14.0,2020-03-21,-10,8.0,1.3333333333333335
87,Armenia,194.0,0.0,2.0,192.0,2020-03-22,3,34.0,0.2124999999999999
88,Azerbaijan,65.0,1.0,11.0,53.0,2020-03-22,-4,12.0,0.2264150943396226
89,Kazakhstan,59.0,0.0,0.0,59.0,2020-03-22,-4,6.0,0.1132075471698113
90,Georgia,54.0,0.0,1.0,53.0,2020-03-22,-8,5.0,0.1020408163265305
91,Uzbekistan,43.0,0.0,0.0,43.0,2020-03-22,-6,0.0,0.0
92,Kyrgyzstan,14.0,0.0,0.0,14.0,2020-03-22,-9,0.0,0.0
93,Armenia,235.0,0.0,2.0,233.0,2020-03-23,4,41.0,0.21134020618556693
94,Azerbaijan,72.0,1.0,10.0,61.0,2020-03-23,-3,7.0,0.10769230769230775
95,Georgia,61.0,0.0,8.0,53.0,2020-03-23,-7,7.0,0.12962962962962954
96,Kazakhstan,62.0,0.0,0.0,62.0,2020-03-23,-3,3.0,0.05084745762711873
97,Kyrgyzstan,16.0,0.0,0.0,16.0,2020-03-23,-8,2.0,0.1428571428571428
98,Uzbekistan,46.0,0.0,0.0,46.0,2020-03-23,-5,3.0,0.06976744186046502
99,Armenia,249.0,0.0,14.0,235.0,2020-03-24,5,14.0,0.05957446808510647
